ID,STIX ID,name,description,url,created,last modified,domain,version,relationship citations
M1036,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,enterprise-attack,1.0,(Citation: Microsoft Common Conditional Access Policies)
M1015,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,enterprise-attack,1.1,"(Citation: Mandiant Defend UNC2452 White Paper),(Citation: Microsoft MS14-025),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: Microsoft Protected Users Security Group),(Citation: ADSecurity Kerberos and KRBTGT),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Replication ACL),(Citation: STIG krbtgt reset),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity DCSync Sept 2015),(Citation: ADSecurity Mimikatz DCSync)"
M1049,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Anomali Template Injection MAR 2018),(Citation: Mandiant Cloudy Logs 2023),(Citation: Microsoft AMSI June 2015),(Citation: SourceForge rkhunter),(Citation: Chkrootkit Main)"
M1013,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,27 September 2023,"enterprise-attack,mobile-attack",1.1,"(Citation: Bugcrowd Replay Attack),(Citation: Comparitech Replay Attack),(Citation: FireEye DLL Side-Loading),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Apple App Security Overview)"
M1048,course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Kubernetes Hardening Guide),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Microsoft Protected View)"
M1047,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,31 March 2023,enterprise-attack,1.2,"(Citation: Secureworks - AT.exe Scheduled Task),(Citation: Microsoft Sxstrace),(Citation: Mandiant Cloudy Logs 2023),(Citation: GitHub Bloodhound),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: GitHub Certify),(Citation: Microsoft Dynamic-Link Library Security),(Citation: Microsoft Preauthentication Jul 2012),(Citation: Powersploit),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: FireEye ADFS),(Citation: Vulnerability and Exploit Detector),(Citation: GitHub PSPKIAudit),(Citation: MagicWeb),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Mandiant Azure AD Backdoors),(Citation: Microsoft Manage Mail Flow Rules 2023),(Citation: Amazon S3 Security, 2019),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Github UACMe),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: Microsoft Get-InboxRule),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: Microsoft CreateProcess),(Citation: Kubernetes Hardening Guide)"
M1040,course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Microsoft ASR Nov 2017),(Citation: Enigma Reviving DDE Jan 2018),(Citation: win10_asr),(Citation: Microsoft_rec_block_rules),(Citation: Malicious Driver Reporting Center),(Citation: Microsoft driver block rules),(Citation: Microsoft ASR Obfuscation)"
M1046,course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,enterprise-attack,1.0,"(Citation: TCG Trusted Platform Module),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: ESET LoJax Sept 2018),(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: TechNet Secure Boot Process),(Citation: Intel Hardware-based Security Technologies)"
M1045,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: applescript signing),(Citation: Content trust in Azure Container Registry),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS),(Citation: Content trust in Docker)"
M1043,course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,21 October 2022,enterprise-attack,1.1,"(Citation: GitHub SHB Credential Guard),(Citation: Microsoft Credential Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Credential Guard)"
M1053,course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Ready.gov IT DRP),(Citation: Rhino S3 Ransomware Part 2),(Citation: Unit 42 Palo Alto Ransomware in Public Clouds 2022)"
M1057,course-of-action--65401701-019d-44ff-b223-08d520bb0e7b,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04 August 2021,30 August 2021,enterprise-attack,1.0,
M1042,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Microsoft ADV170021 Dec 2017),(Citation: GitHub MOTW),(Citation: Amazon AWS IMDS V2),(Citation: ITSyndicate Disabling PHP functions),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: TechNet Screensaver GP),(Citation: Gmail Delegation),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: MRWLabs Office Persistence Add-ins),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Microsoft BEC Campaign),(Citation: Microsoft Disable VBA Jan 2020),(Citation: Symantec SSH and ssh-agent),(Citation: Microsoft Disable Macros),(Citation: Microsoft Disable Autorun),(Citation: ADSecurity Windows Secure Baseline),(Citation: TechNet Removable Media Control),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Network access Credential Manager),(Citation: Microsoft Disable DCOM)"
M1055,course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,enterprise-attack,1.0,
M1041,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: SpecterOps Certified Pre Owned),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Google Cloud Encryption Key Rotation),(Citation: Amazon S3 Security, 2019),(Citation: Metcalf 2015),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Microsoft Primary Refresh Token)"
M1039,course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,enterprise-attack,1.0,(Citation: Securing bash history)
M1038,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,28 February 2022,enterprise-attack,1.2,"(Citation: Corio 2008),(Citation: NSA MS AppLocker),(Citation: Microsoft Windows Defender Application Control),(Citation: Kubernetes Security Context),(Citation: SANS Application Whitelisting),(Citation: Microsoft Using Software Restriction ),(Citation: Kernel.org Restrict Kernel Module),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: TechNet Applocker vs SRP),(Citation: file_upload_attacks_pt2),(Citation: Microsoft Driver Block Rules),(Citation: Microsoft Application Lockdown),(Citation: Dormann Dangers of VHD 2019),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Wikibooks Grsecurity),(Citation: Microsoft PowerShell CLM),(Citation: Increasing Linux kernel integrity),(Citation: Beechey 2010),(Citation: LKM loading kernel restrictions),(Citation: Windows Commands JPCERT),(Citation: Technospot Chrome Extensions GP),(Citation: Microsoft WDAC),(Citation: Kernel Self Protection Project),(Citation: Kubernetes Hardening Guide),(Citation: Default VBS macros Blocking )"
M1050,course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,enterprise-attack,1.1,"(Citation: Secure Host Baseline EMET),(Citation: Corio 2008),(Citation: NSA MS AppLocker),(Citation: Beechey 2010),(Citation: TechNet Moving Beyond EMET),(Citation: Microsoft Windows Defender Application Control),(Citation: Windows Commands JPCERT),(Citation: Wikipedia Control Flow Integrity),(Citation: TechNet Applocker vs SRP)"
M1037,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,enterprise-attack,1.1,"(Citation: Secure Ideas SMB Relay),(Citation: Juniper DAI 2020),(Citation: US-CERT SMB Security),(Citation: CERT-EU DDoS March 2017),(Citation: ntlm_relaying_kerberos_del),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Microsoft Preventing SMB),(Citation: RedLock Instance Metadata API 2018),(Citation: Microsoft SMB Packet Signing),(Citation: US-CERT APT Energy Oct 2017),(Citation: byt3bl33d3r NTLM Relaying),(Citation: Cisco ARP Poisoning Mitigation 2016)"
M1035,course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,enterprise-attack,1.0,"(Citation: Kubernetes Cloud Native Security),(Citation: Kubernetes API Control Access),(Citation: Microsoft AKS Azure AD 2023),(Citation: Docker Daemon Socket Protect),(Citation: Wikipedia 802.1x),(Citation: TechNet RDP Gateway)"
M1034,course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,enterprise-attack,1.0,
M1033,course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,enterprise-attack,1.0,
M1032,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,21 October 2022,enterprise-attack,1.0,"(Citation: Berkley Secure),(Citation: MFA Fatigue Attacks - PortSwigger),(Citation: Microsoft - Device Registration),(Citation: Expel IO Evil in AWS),(Citation: Evilginx 2 July 2018),(Citation: AWS - IAM Console Best Practices),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Amazon S3 Security, 2019),(Citation: Microsoft Nobelium Admin Privileges),(Citation: CISA MFA PrintNightmare),(Citation: Mandiant APT29 Microsoft 365 2022)"
M1031,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,enterprise-attack,1.0,"(Citation: US-CERT-TA18-106A),(Citation: Anomali Template Injection MAR 2018),(Citation: Cisco Umbrella DGA Brute Force),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: dhcp_serv_op_events),(Citation: Cybereason Dissecting DGAs),(Citation: University of Birmingham C2),(Citation: Akamai DGA Mitigation)"
M1030,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,enterprise-attack,1.1,"(Citation: TechNet Firewall Design),(Citation: NSA Spotting),(Citation: Harmj0y Domain Trusts),(Citation: US-CERT TA17-156A SNMP Abuse 2017)"
M1028,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,31 March 2023,enterprise-attack,1.2,"(Citation: Seqrite DoubleExtension),(Citation: UCF STIG Elevation Account Enumeration),(Citation: TechNet Removable Media Control),(Citation: Tilbury Windows Credentials),(Citation: TechNet RDP NLA),(Citation: EnableMPRNotifications),(Citation: TechNet Server Operator Scheduled Task),(Citation: Windows RDP Sessions),(Citation: Microsoft BITS),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: Microsoft WDigest Mit),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: reagentc_cmd),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: SpectorOps Code Signing Dec 2017),(Citation: HowToGeek ShowExtension)"
M1027,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,21 October 2022,enterprise-attack,1.0,"(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet),(Citation: Microsoft Install Password Filter n.d),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: NIST 800-63-3),(Citation: AWS - IAM Console Best Practices),(Citation: store_pwd_rev_enc)"
M1056,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,enterprise-attack,1.0,
M1026,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Microsoft COM ACL),(Citation: Microsoft Create Token),(Citation: Mandiant Azure Run Command 2021),(Citation: Microsoft Azure security baseline for Azure Active Directory),(Citation: TechNet Credential Theft),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: AWS Setting Up Run Command),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Microsoft Remote Use of Local),(Citation: Microsoft PS JEA),(Citation: Microsoft Process Wide Com Keys),(Citation: TechNet Least Privilege),(Citation: Microsoft Securing Privileged Access),(Citation: FireEye ADFS),(Citation: MagicWeb),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Tilbury Windows Credentials),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft runas),(Citation: Protecting Microsoft 365 From On-Premises Attacks),(Citation: Microsoft Replace Process Token),(Citation: Kubernetes Admission Controllers),(Citation: TechNet Scheduling Priority),(Citation: Kubernetes Service Accounts),(Citation: FireEye WMI 2015),(Citation: Microsoft Requests for Azure AD Roles in Privileged Identity Management),(Citation: Microsoft System Wide Com Keys),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft Security Alerts for Azure AD Roles),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Netspi PowerShell Execution Policy Bypass)"
M1025,course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: Graeber 2014),(Citation: Microsoft LSA),(Citation: Microsoft LSA Protection Mar 2014),(Citation: Microsoft Configure LSA)"
M1029,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,enterprise-attack,1.0,(Citation: Ready.gov IT DRP)
M1022,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: create_sym_links),(Citation: Microsoft ETW May 2018),(Citation: piazza launch agent mitigation),(Citation: win_xml_evt_log),(Citation: cisco_deploy_rsa_keys),(Citation: Microsoft W32Time May 2017),(Citation: InsiderThreat NTFS EA Oct 2017)"
M1044,course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Microsoft DLL Security),(Citation: Microsoft Dynamic Link Library Search Order),(Citation: Microsoft More information about DLL)"
M1024,course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,31 March 2023,enterprise-attack,1.1,"(Citation: Microsoft W32Time May 2017),(Citation: def_ev_win_event_logging),(Citation: Microsoft System Services Fundamentals)"
M1021,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,enterprise-attack,1.0,(Citation: Microsoft Azure AD Admin Consent)
M1020,course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,enterprise-attack,1.0,
M1054,course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Enigma Reviving DDE Jan 2018),(Citation: Microsoft Anti Spoofing),(Citation: Palo Alto Office Test Sofacy),(Citation: Wikipedia HPKP),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Cisco Securing SNMP),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Chromium HSTS),(Citation: CyberArk Labs Safe Mode 2016),(Citation: ACSC Email Spoofing),(Citation: CloudSploit - Unused AWS Regions)"
M1019,course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,enterprise-attack,1.0,
M1051,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,enterprise-attack,1.0,"(Citation: Github UACMe),(Citation: SensePost Outlook Forms),(Citation: Cisco Blog Legacy Device Attacks),(Citation: SensePost Outlook Home Page),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: MS14-025),(Citation: NSA Spotting)"
M1052,course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: GitHub IAD Secure Host Baseline UAC Filtering),(Citation: Executable Installers are Vulnerable)"
M1018,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: Office 365 Partner Relationships),(Citation: Symantec BITS May 2007),(Citation: Microsoft GPO Security Filtering),(Citation: Expel IO Evil in AWS),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: UCF STIG Symbolic Links),(Citation: Microsoft SolarWinds Customer Guidance),(Citation: Microsoft ETW May 2018),(Citation: Kubernetes RBAC),(Citation: Mandiant M-Trends 2020),(Citation: Apple TN2459 Kernel Extensions),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Wald0 Guide to GPOs),(Citation: Crowdstrike AWS User Federation Persistence),(Citation: Amazon S3 Security, 2019),(Citation: Microsoft Azure Storage Security, 2019),(Citation: MDMProfileConfigMacOS),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft WMI Filters)"
M1017,course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,enterprise-attack,1.2,"(Citation: Re-Open windows on Mac),(Citation: CISA Phishing)"
M1016,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,enterprise-attack,1.1,(Citation: OWASP Top 10)
